census_aland,census_aland_sqmi,census_awater,census_awater_sqmi,census_diversity_score,census_educational_score,census_geoid,census_intptlat,census_intptlong,census_median_age,census_median_household_income,census_population,top_category
199668813,77.093,4025425,1.554,0.4147368421052632,3.3448275862068964,74644,36.552865,-97.098274                                                                                                                                               ,35.8,38250.0,475,Others
55941726,21.599,14318,0.006,0.006160164271047228,3.5625,62345,39.704319,-91.127325                                                                                                                                                  ,43.6,55405.0,487,Others
97342520,37.584,2053009,0.793,0.8887008621281072,3.265479627847289,38127,35.242751,-90.02679                                                                                                                                                 ,29.4,24958.0,43729,Tech
33471276,12.923,13715063,5.295,0.2359101471727343,4.786081439241828,97217,45.601815,-122.700798                                                                                                                                              ,36.9,56028.0,32275,Socializing
81780646,31.576,8975821,3.466,0.003701745108408249,3.1124260355029585,17563,39.760748,-76.193306                                                                                                                                                ,37.3,53125.0,3782,Socializing
276790052,106.869,59582,0.023,0.11687998068099495,3.974315214608755,97128,45.211917,-123.282091                                                                                                                                               ,36.5,46663.0,37269,Socializing
133458642,51.529,14028,0.005,0.057471264367816084,3.853801169590643,73733,36.254662,-97.68794                                                                                                                                                  ,45.2,47000.0,261,Others
138658592,53.536,182457,0.07,0.05388197282143875,4.403979238754325,49315,42.803705,-85.742196                                                                                                                                                 ,40.1,69333.0,21046,Outdoors & Adventure
53845744,20.79,36121,0.014,0.7037037037037037,3.2205882352941178,65436,37.623801,-91.96361                                                                                                                                                    ,52.1,50500.0,81,Outdoors & Adventure
29432040,11.364,1359518,0.525,0.134884157208517,3.970438137913866,32960,27.641533,-80.402619                                                                                                                                                ,49.2,32270.0,21322,Socializing
606490140,234.167,1531170,0.591,0.37888198757763975,3.7089947089947093,74957,34.523791,-94.655141                                                                                                                                              ,41.5,29524.0,1127,Others
202042405,78.009,5050607,1.95,0.059701492537313425,3.921195652173913,66090,39.787949,-94.973367                                                                                                                                                ,44.9,50301.0,2546,Outdoors & Adventure
1066152,0.412,13714,0.005,0.005376344086021507,3.79746835443038,63758,37.187019,-89.555945                                                                                                                                                    ,53.0,48438.0,186,Others
53296229,20.578,256849,0.099,0.17390189542612572,4.5413683373110585,93003,34.283668,-119.223196                                                                                                                                                ,40.1,67348.0,50701,Tech
1497726,0.578,221070,0.085,0.013986013986013986,4.5098039215686265,01347,42.559294,-72.518753                                                                                                                                                   ,38.7,38696.0,143,Outdoors & Adventure
4448463610,1717.561,1771252,0.684,0.6868693574083908,3.4465570952841333,86047,35.113436,-110.671248                                                                                                                                           ,32.6,31796.0,15064,Tech
100756769,38.902,104452,0.04,0.0099009900990099,2.9392712550607287,24827,37.75327,-81.64148                                                                                                                                                   ,44.5,48672.0,1717,Career & Business
17829080,6.884,617076,0.238,0.15313801417403375,4.701158216783217,60555,41.822167,-88.180773                                                                                                                                                  ,38.4,77656.0,13687,Socializing
21908582,8.459,69629,0.027,0.19520405810468067,3.9109489533117614,48310,42.563435,-83.068397                                                                                                                                                   ,40.3,52156.0,43370,Outdoors & Adventure
281134792,108.547,2978579,1.15,0.4586614173228346,3.919254658385093,59831,47.26012,-114.368312                                                                                                                                               ,33.0,24688.0,508,Outdoors & Adventure
129549319,50.019,0,0.,0.2449022095158756,3.8084338068520953,85122,32.917126,-111.744208                                                                                                                                                       ,36.5,44364.0,52817,Socializing
50774716,19.604,0,0.,0.037089871611982884,4.746894409937887,14841,42.525338,-76.840915                                                                                                                                                         ,57.7,78250.0,701,Outdoors & Adventure
3518204,1.358,0,0.,0.0,3.3442211055276383,31318,32.142025,-81.371941                                                                                                                                                           ,56.2,110526.0,488,Socializing
172622222,66.65,186429,0.072,0.14317673378076062,4.798619102416572,79012,35.264761,-102.127678                                                                                                                                                ,30.3,117240.0,1341,Socializing
100560704,38.827,1637670,0.632,0.02525252525252525,3.926494345718901,04910,44.508311,-69.44521                                                                                                                                                ,44.2,40438.0,1782,Outdoors & Adventure
819170108,316.283,643232,0.248,0.052670623145400594,4.260036496350366,96057,41.268682,-121.93094                                                                                                                                               ,53.5,40034.0,1348,Outdoors & Adventure
107772546,41.611,465987,0.18,0.0,3.8666666666666663,58029,47.119604,-97.403783                                                                                                                                                 ,36.0,67083.0,214,Tech
122358672,47.243,1454985,0.562,0.024171270718232045,3.348470806302132,26763,39.473037,-78.699175                                                                                                                                               ,45.8,30591.0,1448,Tech
